time,B0,B1,B2,B3,B7,ENABLE,DONE,CLK
0,1,0,1,1,0,1,0,1
2083,1,0,1,1,0,1,0,0
2917,0,0,1,1,0,1,1,0
7083,0,0,1,1,0,1,1,1
7292,0,0,1,1,0,1,0,1
12083,0,0,1,1,0,1,0,0
12917,0,0,0,0,0,1,1,0
17083,0,0,0,0,0,1,1,1
17292,0,0,0,0,0,1,0,1
22083,0,0,0,0,0,1,0,0
22917,1,1,1,1,0,1,1,0
27083,1,1,1,1,0,1,1,1
27292,1,1,1,1,0,1,0,1
32083,1,1,1,1,0,1,0,0
32917,1,1,1,1,0,1,1,0
37083,1,1,1,1,0,1,1,1
37292,1,1,1,1,0,1,0,1
42083,1,1,1,1,0,1,0,0
42917,1,0,1,1,0,1,1,0
47083,1,0,1,1,0,1,1,1
47292,1,0,1,1,0,1,0,1
52083,1,0,1,1,0,1,0,0
52917,1,0,1,1,0,1,1,0
57083,1,0,1,1,0,1,1,1
57292,1,0,1,1,0,1,0,1
62083,1,0,1,1,0,1,0,0
63125,1,0,1,1,0,1,1,0
67083,1,0,1,1,0,1,1,1
67292,1,0,1,1,0,1,0,1
72083,1,0,1,1,0,1,0,0
72917,0,0,1,1,0,1,1,0
73125,0,1,1,1,0,1,1,0
77083,0,1,1,1,0,1,1,1
77292,0,1,1,1,0,1,0,1
82083,0,1,1,1,0,1,0,0
82917,0,1,1,1,0,1,1,0
87083,0,1,1,1,0,1,1,1
87292,0,1,1,1,0,1,0,1
92083,0,1,1,1,0,1,0,0
92917,0,0,1,1,0,1,0,0
93125,1,0,1,1,0,1,1,0
97083,1,0,1,1,0,1,1,1
97292,1,0,1,1,0,1,0,1
102083,1,0,1,1,0,1,0,0
103125,1,0,1,1,0,1,1,0
107083,1,0,1,1,0,1,1,1
107292,1,0,1,1,0,1,0,1
112083,1,0,1,1,0,1,0,0
113125,1,0,1,1,0,1,1,0
117083,1,0,1,1,0,1,1,1
117292,1,0,1,1,0,1,0,1
122083,1,0,1,1,0,1,0,0
123125,1,0,1,1,0,1,1,0
127083,1,0,1,1,0,1,1,1
127292,1,0,1,1,0,1,0,1
132083,1,0,1,1,0,1,0,0
132917,0,0,1,1,0,1,0,0
133125,0,1,1,1,0,1,1,0
137083,0,1,1,1,0,1,1,1
137292,0,1,1,1,0,1,0,1
142083,0,1,1,1,0,1,0,0
142917,0,0,1,1,0,1,0,0
143125,1,0,1,1,0,1,1,0
147083,1,0,1,1,0,1,1,1
147292,1,0,1,1,0,1,0,1
152083,1,0,1,1,0,1,0,0
153125,1,0,1,1,0,1,1,0
157083,1,0,1,1,0,1,1,1
157292,1,0,1,1,0,1,0,1
162083,1,0,1,1,0,1,0,0
163125,1,0,1,1,0,1,1,0
167083,1,0,1,1,0,1,1,1
167292,1,0,1,1,0,1,0,1
172083,1,0,1,1,0,1,0,0
173125,1,0,1,1,0,1,1,0
177083,1,0,1,1,0,1,1,1
177292,1,0,1,1,0,1,0,1
182083,1,0,1,1,0,1,0,0
183125,1,0,1,1,0,1,1,0
187083,1,0,1,1,0,1,1,1
187292,1,0,1,1,0,1,0,1
192083,1,0,1,1,0,1,0,0
192917,0,0,1,1,0,1,0,0
193125,0,1,1,1,0,1,1,0
197083,0,1,1,1,0,1,1,1
197292,0,1,1,1,0,1,0,1
202083,0,1,1,1,0,1,0,0
203125,1,0,1,1,0,1,1,0
207083,1,0,1,1,0,1,1,1
207292,1,0,1,1,0,1,0,1
212083,1,0,1,1,0,1,0,0
213125,1,0,1,1,0,1,1,0
217083,1,0,1,1,0,1,1,1
217292,1,0,1,1,0,1,0,1
222083,1,0,1,1,0,1,0,0
223125,0,1,1,1,0,1,1,0
227083,0,1,1,1,0,1,1,1
227292,0,1,1,1,0,1,0,1
232083,0,1,1,1,0,1,0,0
233125,0,1,1,1,0,1,1,0
237083,0,1,1,1,0,1,1,1
237292,0,1,1,1,0,1,0,1
242083,0,1,1,1,0,1,0,0
243125,1,0,1,1,0,1,1,0
247083,1,0,1,1,0,1,1,1
247292,1,0,1,1,0,1,0,1
252083,1,0,1,1,0,1,0,0
253125,1,0,1,1,0,1,1,0
257083,1,0,1,1,0,1,1,1
257292,1,0,1,1,0,1,0,1
262083,1,0,1,1,0,1,0,0
263125,1,0,1,1,0,1,1,0
267083,1,0,1,1,0,1,1,1
267292,1,0,1,1,0,1,0,1
272083,1,0,1,1,0,1,0,0
273125,1,0,1,1,0,1,1,0
277292,1,0,1,1,0,1,0,1
282292,1,0,1,1,0,1,0,0
283125,0,1,1,1,0,1,1,0
287292,0,1,1,1,0,1,0,1
292292,0,1,1,1,0,1,0,0
293125,0,0,0,0,0,1,1,0
297292,0,0,0,0,0,1,1,1
297500,0,0,0,0,0,1,0,1
302292,0,0,0,0,0,1,0,0
303125,1,0,1,1,0,1,1,0
307292,1,0,1,1,0,1,1,1
307500,1,0,1,1,0,1,0,1
312292,1,0,1,1,0,1,0,0
313125,1,0,1,1,0,1,1,0
317292,1,0,1,1,0,1,1,1
317500,1,0,1,1,0,1,0,1
322292,1,0,1,1,0,1,0,0
323125,0,1,1,1,0,1,1,0
327292,0,1,1,1,0,1,1,1
327500,0,1,1,1,0,1,0,1
332292,0,1,1,1,0,1,0,0
333125,0,1,1,1,0,1,1,0
337292,0,1,1,1,0,1,1,1
337500,0,1,1,1,0,1,0,1
